"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","927","should allow user to login","","Sat Sep 07 10:57:14 BOT 2024","passed","Sat Sep 07 10:57:14 BOT 2024","","Login in soucelabs","",""
"","227","should block the user from logging in if they have invalid credentials.","","Sat Sep 07 10:57:14 BOT 2024","passed","Sat Sep 07 10:57:15 BOT 2024","","Login in soucelabs","",""
